Time,Bgn Entity,Bgn Pos LLA_DD,End Entity,End Pos LLA_DD,Earth Model,Az(M),Az(T),El,Cmp(T),Dist,Rng,Alt,Dist(B),Rng(B)
173 2015 11:00:09.231,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:10.243,origin,,Target_1,,WGS84,,304.8,,,,55511.5,350,,
173 2015 11:00:10.243,origin,,Target_2,,WGS84,,303.1,,,,55909,350,,
173 2015 11:00:10.243,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:10.243,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:10.243,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:10.243,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:11.404,origin,,Target_1,,WGS84,,304.9,,,,55296.4,350,,
173 2015 11:00:11.404,origin,,Target_2,,WGS84,,303.1,,,,55695.1,350,,
173 2015 11:00:11.404,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:11.404,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:11.404,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:11.404,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:12.579,origin,,Target_1,,WGS84,,304.9,,,,55078.6,350,,
173 2015 11:00:12.579,origin,,Target_2,,WGS84,,303.2,,,,55478.5,350,,
173 2015 11:00:12.579,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:12.579,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:12.579,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:12.579,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:13.615,origin,,Target_1,,WGS84,,304.9,,,,54886.6,350,,
173 2015 11:00:13.615,origin,,Target_2,,WGS84,,303.2,,,,55287.4,350,,
173 2015 11:00:13.615,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:13.615,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:13.615,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:13.615,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:14.662,origin,,Target_1,,WGS84,,304.9,,,,54692.4,350,,
173 2015 11:00:14.662,origin,,Target_2,,WGS84,,303.2,,,,55094.2,350,,
173 2015 11:00:14.662,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:14.662,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:14.662,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:14.662,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:15.724,origin,,Target_1,,WGS84,,305,,,,54495.5,350,,
173 2015 11:00:15.724,origin,,Target_2,,WGS84,,303.2,,,,54898.3,350,,
